,q,m,V,theta,mse,alpha,lambda,Phi
0,0.10672680946588753,1.930138356263398e-08,14.611553669753029,0.1471560839316735,0.003535049513118116,2.275,0.01,0.2903039367607733
1,0.10289760186741677,4.700109887120596e-09,15.014693847182047,0.14423664281301976,0.00362161496313651,2.119642857142857,0.01,0.2703831098682257
2,0.09793545861907318,-7.030243263710441e-10,15.877311882278072,0.1389990988203201,0.0037999041573267833,1.964285714285714,0.01,0.25047629989407627
3,0.09286057262766009,1.1517402042896418e-08,16.764145767318787,0.133178822473745,0.004003306604057011,1.8089285714285712,0.01,0.23057857149772762
4,0.08744460246478525,-4.059172756628316e-08,17.740660719052855,0.12655282272594875,0.004237505616844106,1.6535714285714285,0.01,0.21069164669290538
5,0.08172316877054217,1.319038459866825e-08,18.807247131564495,0.11909492413199949,0.00450140255330389,1.4982142857142855,0.01,0.19081673826020323
6,0.07557702555626672,3.3141397282972786e-08,20.092442114597446,0.11027455311155207,0.004809975943421363,1.3428571428571427,0.01,0.17095725410348006
7,0.06893090948359723,-1.4828372915348587e-07,21.985500619549804,0.09842596151620471,0.005206506609504724,1.1875,0.01,0.15112150285437279
8,0.06244904168411386,-1.3797583535101241e-07,24.454223609354273,0.0827262186050768,0.005678797661261004,1.032142857142857,0.01,0.13130974401439968
9,0.05560608633305831,-1.7493047275558413e-07,26.348787907679977,0.06846014514568818,0.00607292008764182,0.8767857142857142,0.01,0.11150026384337014
10,0.04815955352252541,8.092477461874748e-06,28.003683540462433,0.0541838320764179,0.006438693975560517,0.7214285714285713,0.01,0.09170195502083116
11,0.039926857592875085,-4.5831864680876866e-07,29.3209069302927,0.04019717041239698,0.006782408753248537,0.5660714285714284,0.01,0.07191306712720379
12,0.030623026767856637,2.663354472880173e-08,30.149931976400858,0.027245992068424114,0.007117439830323757,0.4107142857142857,0.01,0.052136311415565184
13,0.02008720403717367,8.440155100398618e-08,30.28752458612579,0.015433957211880692,0.0074744218220222924,0.25535714285714284,0.01,0.032376304629317405
14,0.008390321828025063,-5.742883421496348e-07,28.86428312491097,0.00558861345624757,0.007881028949351498,0.1,0.01,0.012650993120781549
