,q,m,V,theta,mse,alpha,lambda,Phi
0,0.11415017990617564,1.226894055183022e-08,12.327885683844869,0.15856055220203275,0.0027930868446673918,2.0,0.01,-0.003599352337970492
1,0.11014649764532011,-1.1322142260842072e-08,12.919840974635399,0.15445692236230554,0.0029856497711678864,1.8928571428571428,0.01,-0.0034959108698126955
2,0.10593059646286317,-6.902304582982855e-09,13.551331034014186,0.14998815739148297,0.0031976643474393995,1.7857142857142856,0.01,-0.0033862429701897725
3,0.10149280424613175,9.080439488817476e-09,14.218274679453838,0.14516174323088654,0.0034277898816461594,1.6785714285714286,0.01,-0.0032697439458375345
4,0.09688052784921801,2.2277800634388286e-08,14.922364869278569,0.13996884412896857,0.003676414893391655,1.5714285714285714,0.01,-0.0031456625892836675
5,0.0920768413833623,5.257254287890221e-09,15.658780436831105,0.13436694104585886,0.00394461574494942,1.4642857142857142,0.01,-0.003013283246736562
6,0.08707740631062527,5.652074558546317e-09,16.43027861942045,0.12833381226310503,0.00423210380773964,1.3571428571428572,0.01,-0.002871874137655124
7,0.08188248022049105,-1.2594374808338696e-08,17.26700951687913,0.12171494957975484,0.004545061800608985,1.25,0.01,-0.002720275075475354
8,0.08138604822097394,-9.54706201647387e-09,17.35195535814113,0.12105288186377183,0.004576183940087408,1.24,0.01,-0.002705535166287802
9,0.07566384430449109,1.665047502655403e-08,18.361808765516404,0.11322287196073384,0.0049396637185087355,1.1281818181818182,0.01,-0.00253395569947562
10,0.0695638809100648,-2.0345155060514986e-08,19.606356268981273,0.10404938376407896,0.005352672762019561,1.0163636363636364,0.01,-0.002347899442909628
11,0.06304331513058851,-2.1991948054254478e-08,21.52332785630633,0.091554737522032,0.005880634531333695,0.9045454545454545,0.01,-0.002141732874676963
12,0.05650952872590989,-2.505286953535827e-08,23.999390516755163,0.07545842320883178,0.0064818600650380365,0.7927272727272727,0.01,-0.0019182948984104047
13,0.04959268199440639,-5.3253864476524376e-08,26.065661729953632,0.06037588639853319,0.006974518030512522,0.6809090909090909,0.01,-0.0016854349600811775
14,0.04248337256731916,-4.24540684868276e-08,27.795975941649246,0.045671764667954216,0.007391606531999995,0.5690909090909091,0.01,-0.001438862215475021
15,0.03513188903915426,-2.3104731405258798e-07,28.956230905930298,0.033118791200089384,0.0077178769012503645,0.4572727272727273,0.01,-0.0011846725594785374
16,0.027416592811154054,-1.5200297166257634e-08,29.590448092347117,0.022254571347277142,0.00799620333665696,0.34545454545454546,0.01,-0.0009229475923100369
17,0.01911387842581389,1.111413748080237e-07,29.67889045685034,0.013192013709445609,0.00825845037606665,0.23363636363636364,0.01,-0.0006492471504873764
18,0.010152799549034698,2.0322465623899603e-07,29.004722691705048,0.005749346816452465,0.00853528451301877,0.12181818181818181,0.01,-0.0003592411772520447
19,0.0008232063662072006,1.020479332863489e-06,26.062115279484185,0.0003085759133657204,0.008841244559214423,0.01,0.01,-3.31016138235573e-05
