,q,m,V,theta,mse,alpha,lambda,Phi
0,0.06948408825797997,-0.018347778052836272,18.86474632814862,-7.262030959538198e-21,0.006935991597414037,2.0,0.01,-0.0043494558494217165
1,0.06571181676407696,-0.0180828479698915,19.98193344178842,1.792569242924462e-19,0.006841198052276676,1.788888888888889,0.01,-0.003853084098836495
2,0.06113165130462278,-0.017846924546798898,21.17726672008586,-3.1074359382752514e-20,0.0067341652343053116,1.577777777777778,0.01,-0.0033684849939193623
3,0.05573377373558841,-0.01763121444810424,22.418847864249578,-1.149794068004345e-19,0.006619527731002994,1.3666666666666667,0.01,-0.0028959552755633096
4,0.04972771336763498,-4.419537116947512e-08,23.721470669702448,2.3808177955692057e-20,0.006498281808273554,1.1555555555555557,0.01,-0.002428798893401798
5,0.042356508294681745,0.016940727508009092,24.947932293890428,-3.808718921961675e-20,0.00639057375604668,0.9444444444444444,0.01,-0.0019857736224206854
6,0.034414501775555786,0.016288626728145714,26.099459875712533,-1.3609436725634086e-19,0.006293281079551849,0.7333333333333333,0.01,-0.0015456099384629834
7,0.025617660768545172,0.014941056514782489,27.04079941697333,-1.5645621555394758e-19,0.006220423794354557,0.5222222222222223,0.01,-0.0011114026334068045
8,0.01593824329995328,0.011958818921341098,27.553910803531316,-8.502014032872457e-20,0.006184197317864515,0.3111111111111111,0.01,-0.0006770630461256908
9,0.005361803791644458,0.005146665027590223,26.993164346046726,1.5553607315636847e-20,0.006199157810656775,0.1,0.01,-0.00022926863428279987
