,q,m,V,theta,mse,alpha,lambda,Phi
0,0.03930418222366011,0.29427687896906113,8.696805951324794,2.8521312766302333e-06,0.004980312809899634,2.275,0.01,0.29064101719767454
1,0.03906781731399814,0.2936990441820746,8.77671932601852,2.008425916448007e-06,0.004970658521469051,2.119642857142857,0.01,0.27080703407094886
2,0.038967852151176846,0.2927429862009894,9.001287903925965,1.4102941809760097e-06,0.004968638222915378,1.964285714285714,0.01,0.2509700515950117
3,0.03894591784240928,0.29151798412568825,9.345575973934473,9.864200254311746e-07,0.004971253676034126,1.8089285714285712,0.01,0.23112962005879956
4,0.03893817202395271,0.2899849581456395,9.795213952383477,6.866039276070473e-07,0.004975746373379164,1.6535714285714285,0.01,0.21128524043235306
5,0.038886260050136325,0.28807285029912805,10.344223132640783,4.765165365007601e-07,0.004979917884594953,1.4982142857142855,0.01,0.1914363795552664
6,0.03872753281791613,0.2856560820851185,10.992803074178514,3.277502318749572e-07,0.004981924111578717,1.3428571428571427,0.01,0.1715824875803699
7,0.038387673926166904,0.28251393555150855,11.747199558667264,2.247767363264885e-07,0.004980464162295917,1.1875,0.01,0.15172301947450817
8,0.037789326355246115,0.2783898162225677,12.209550314703284,1.8584526876023764e-07,0.004975557742261771,1.032142857142857,0.01,0.13185938826301002
9,0.03685279019408878,0.2727267136014364,13.345683577583507,1.2581726018290463e-07,0.004971044985603412,0.8767857142857142,0.01,0.11198692921937234
10,0.03421206688419154,0.26430636389131634,16.24346031963734,3.041698526695238e-08,0.004936109939899236,0.7214285714285713,0.01,0.09210592508888482
11,0.030691412448217225,0.2515378018622449,18.164286676080664,7.046738355413874e-09,0.0049465335525251675,0.5660714285714284,0.01,0.07222403578882967
12,0.026085032157214905,0.2303228609758689,20.02487304211779,1.0889785658577249e-09,0.005097695494848842,0.4107142857142857,0.01,0.0523418012463392
13,0.019089716148118333,0.19056911803754234,22.378851283461028,-2.426598294726173e-11,0.005636227610688049,0.25535714285714284,0.01,0.03247249619247849
14,0.008389681802988155,0.09908869643623641,25.421299687932656,-2.1722706153674226e-10,0.007214225650385542,0.1,0.01,0.012661566212924157
