d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,r_student,attention_mag_max,attention_thet_max,attention_mag_min,attention_thet_min,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.0833333333333335,False,GD,1.0,0.0,2.0,0.11461495,0.53155917,0.04646676,0.1899437,0.003946671612548828,0.002218928997802734,4.112202422904969
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.1666666666666665,False,GD,1.0,0.0,2.0,0.117081486,0.57455873,0.057107955,0.28911862,0.003984627026367187,0.0016404855239868163,3.974532615470886
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.25,False,GD,1.0,0.0,2.0,0.115222275,0.59887713,0.039152503,0.23628493,0.00397028637084961,0.0015803206726074219,4.042739759874344
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.3333333333333335,False,GD,1.0,0.0,2.0,0.115358934,0.6112957,0.028107405,0.15880488,0.0037862154785156246,0.001511876808166504,4.015809904909134
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.4166666666666665,False,GD,1.0,0.0,2.0,0.1093863,0.64438105,0.041751634,0.23579831,0.0037942734313964844,0.0010299871948242186,3.8044466488361364
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.5,False,GD,1.0,0.0,2.0,0.108304396,0.5828543,0.04652786,0.22994664,0.0037518581298828122,0.0013672637374877931,4.11385145573616
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.583333333333333,False,GD,1.0,0.0,2.0,0.09479582,0.67557085,0.033484776,0.21440312,0.003784049523925781,0.0009474651580810546,3.9984936928272248
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.6666666666666665,False,GD,1.0,0.0,2.0,0.10361357,0.6762654,0.044166647,0.2760386,0.003937562799072266,0.0008896460693359375,4.069056478452682
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.75,False,GD,1.0,0.0,2.0,0.094033346,0.69504917,0.031781975,0.24350023,0.003793555786132812,0.0007323850921630859,4.001243682527543
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.833333333333333,False,GD,1.0,0.0,2.0,0.09830861,0.6706547,0.044197865,0.2601694,0.0039034589233398432,0.0010053968185424803,4.361827542686463
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.9166666666666665,False,GD,1.0,0.0,2.0,0.10585578,0.7262666,0.03467444,0.25004873,0.003938680358886718,0.0006707711898803711,4.161835844039917
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.0,False,GD,1.0,0.0,2.0,0.08963533,0.7016385,0.04628978,0.33422583,0.003888068225097656,0.0006244615600585937,4.149309885263444
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.083333333333333,False,GD,1.0,0.0,2.0,0.10083721,0.70276934,0.043901466,0.3311294,0.0038189512390136723,0.0005760974716186524,4.140477917337418
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.1666666666666665,False,GD,1.0,0.0,2.0,0.101298414,0.72643423,0.04166779,0.30553123,0.003878976098632812,0.0005478307235717774,4.221358759498597
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.25,False,GD,1.0,0.0,2.0,0.09598123,0.69798696,0.048387583,0.35917068,0.003865104962158203,0.0005380286193847657,4.205228451871872
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.333333333333333,False,GD,1.0,0.0,2.0,0.09570695,0.73831344,0.051180284,0.39243162,0.004110013946533203,0.0005120657272338867,4.455365659379959
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.4166666666666665,False,GD,1.0,0.0,2.0,0.09752185,0.7362731,0.041095696,0.30152002,0.0038018757507324217,0.0004585313232421875,4.239239125299454
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.5,False,GD,1.0,0.0,2.0,0.09085178,0.70758975,0.051781047,0.39972427,0.003949837792968749,0.0004401654525756836,4.371851007938385
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.583333333333333,False,GD,1.0,0.0,2.0,0.09653582,0.7824561,0.027363587,0.20576784,0.003853030041503906,0.00043080237884521484,4.326607357549667
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.6666666666666665,False,GD,1.0,0.0,2.0,0.09296792,0.73410696,0.04124126,0.30515212,0.003786843908691406,0.00039561426696777343,4.279832463979721
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.75,False,GD,1.0,0.0,2.0,0.103255115,0.8605075,0.016577255,0.14244214,0.004132668872070313,0.0003849303276062012,4.589222359991074
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.833333333333333,False,GD,1.0,0.0,2.0,0.09452832,0.77515304,0.03996124,0.33301255,0.004020535522460938,0.0003666592918395996,4.519410524559021
1000,2,1,0.4,0.5,0.02,0.01,0.0001,3.9166666666666665,False,GD,1.0,0.0,2.0,0.093776904,0.7563099,0.034916654,0.29111382,0.003770904333496094,0.0003358516624450684,4.333193156051636
1000,2,1,0.4,0.5,0.02,0.01,0.0001,4.0,False,GD,1.0,0.0,2.0,0.09151292,0.7546396,0.038766857,0.31413358,0.003801765014648438,0.0003251298671722412,4.393321335601807
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.01,False,GD,1.0,0.0,2.0,0.002760761,0.0031457343,0.0011272738,0.0011069145,0.0040783665771484375,0.005351590063476562,0.034194629125470236
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.09291666666666666,False,GD,1.0,0.0,2.0,0.031498183,0.012391519,0.015017888,0.0024582236,0.003692669958496094,0.005189479309082031,0.3201829442858696
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.17583333333333334,False,GD,1.0,0.0,2.0,0.06353329,0.025404736,0.021743681,0.009124681,0.0036377933532714844,0.004942367199707031,0.5600038676261903
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.25875,False,GD,1.0,0.0,2.0,0.08292462,0.024925161,0.026699135,0.011368961,0.003793657238769531,0.005048933801269531,0.7864738845825195
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.3416666666666667,False,GD,1.0,0.0,2.0,0.11581621,0.026552672,0.040505446,0.019490913,0.003784463897705078,0.004854271234130859,0.9752317910432815
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.4245833333333333,False,GD,1.0,0.0,2.0,0.1087472,0.040774424,0.06185336,0.025547337,0.0037353591491699222,0.004731517211914062,1.2078258131504058
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.5075,False,GD,1.0,0.0,2.0,0.11432816,0.04157392,0.041035794,0.025242802,0.003667539294433594,0.0046218982482910155,1.4290501222610474
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.5904166666666667,False,GD,1.0,0.0,2.0,0.13324228,0.052066308,0.042176373,0.018586386,0.0037074095642089843,0.0045964911804199215,1.5909304598331453
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.6733333333333333,False,GD,1.0,0.0,2.0,0.15649456,0.058949016,0.051160097,0.019848648,0.003671430047607422,0.004482174822998047,1.715211992931366
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.75625,False,GD,1.0,0.0,2.0,0.1383972,0.08915447,0.03517125,0.0329826,0.0036895632202148436,0.004483169055175781,2.015216238927841
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.8391666666666666,False,GD,1.0,0.0,2.0,0.1480173,0.06909548,0.06844453,0.046634294,0.0036784574401855464,0.004456852386474609,2.1611641243457793
1000,2,1,0.4,0.5,0.04,0.01,0.0001,0.9220833333333334,False,GD,1.0,0.0,2.0,0.1502969,0.10829494,0.066548765,0.045724034,0.0036223051025390625,0.004307541510009766,2.2836918475151062
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.005,False,GD,1.0,0.0,2.0,0.14388111,0.10409729,0.075875625,0.06599249,0.0037266573242187503,0.004439926403808594,2.5563226918220523
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.0879166666666666,False,GD,1.0,0.0,2.0,0.15356652,0.15850136,0.067954704,0.072926864,0.003689664178466797,0.004190960845947266,2.6551672738075256
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.1708333333333334,False,GD,1.0,0.0,2.0,0.15316197,0.17275478,0.06415694,0.06411205,0.0037444848205566406,0.004263148138427734,2.939033391094208
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.25375,False,GD,1.0,0.0,2.0,0.14684482,0.19332126,0.07137212,0.09272145,0.003868465270996094,0.004270872418212891,3.1174694333076483
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.3366666666666667,False,GD,1.0,0.0,2.0,0.12973489,0.28048378,0.0808037,0.17792605,0.0037377596740722657,0.003514425695800781,3.1344940028190615
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.4195833333333334,False,GD,1.0,0.0,2.0,0.14070073,0.21501856,0.039810088,0.124677196,0.0037918802734375,0.003960245690917968,3.3399022676467895
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.5025,False,GD,1.0,0.0,2.0,0.13892326,0.34368035,0.051402725,0.12506957,0.0035225007934570314,0.0030141740814208983,3.13594186463356
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.5854166666666667,False,GD,1.0,0.0,2.0,0.12071284,0.30719844,0.05141259,0.1342625,0.0036795371948242185,0.003507270037841797,3.629360518789291
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.6683333333333332,False,GD,1.0,0.0,2.0,0.13337737,0.41204554,0.06380086,0.18131079,0.003848736853027344,0.002883381576538086,3.6373745866298677
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.75125,False,GD,1.0,0.0,2.0,0.12581396,0.3465528,0.07711297,0.205508,0.0037351930419921874,0.0031226672119140627,3.767575505304337
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.8341666666666667,False,GD,1.0,0.0,2.0,0.12701467,0.3837499,0.058060862,0.20580149,0.003783558038330078,0.0029077612243652343,3.9277354067802435
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.9170833333333333,False,GD,1.0,0.0,2.0,0.124432184,0.4363822,0.06062436,0.22698681,0.0037315558166503907,0.0024151516845703123,3.7940574285507203
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.0,False,GD,1.0,0.0,2.0,0.12514049,0.52831835,0.05001799,0.21637078,0.0036445948120117184,0.0018660105102539064,3.5757633898258208
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.0833333333333335,False,GD,1.0,0.0,2.0,0.1004376,0.5202691,0.053515602,0.26788735,0.0037811640625000005,0.0018061665954589843,3.8065124236106875
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.1666666666666665,False,GD,1.0,0.0,2.0,0.11377244,0.5195969,0.05155074,0.23660311,0.0037147550781250005,0.0019255632217407225,3.9918927167415617
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.25,False,GD,1.0,0.0,2.0,0.11760582,0.6238302,0.05270012,0.28829703,0.003874649591064453,0.0011773465270996093,3.7963077729225163
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.3333333333333335,False,GD,1.0,0.0,2.0,0.11982646,0.58619714,0.046068765,0.20698719,0.003724410308837891,0.0016698892364501953,4.179610855388641
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.4166666666666665,False,GD,1.0,0.0,2.0,0.11416302,0.5818275,0.053863525,0.26828662,0.0036436570373535155,0.0013396787063598634,3.9679294726371763
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.5,False,GD,1.0,0.0,2.0,0.11011487,0.6207336,0.062481266,0.3406752,0.003685418371582031,0.0009178964324951172,3.8254214747905735
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.583333333333333,False,GD,1.0,0.0,2.0,0.11578207,0.6360075,0.045967918,0.25597873,0.003796225946044922,0.0012155491561889648,4.170689604282379
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.6666666666666665,False,GD,1.0,0.0,2.0,0.111208424,0.6512357,0.059645277,0.3492722,0.0037971592895507814,0.0008204702316284178,3.9692781072616574
